title,genre_list,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,War,Western,vote_average,popularity,vote_count,revenue,budget,release_date,profit
2067,"ScienceFiction,Thriller,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5.8,3739.4629999999997,141,0,0,2020-10-01,0
Welcome to Sudden Death,"Action,Drama,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.6,2058.6839999999997,113,0,0,2020-09-29,0
Enola Holmes,"Crime,Drama,Mystery",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.6,1636.807,2123,0,21000000,2020-09-23,-21000000
Mulan,"Action,Adventure,Drama,Fantasy",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.3,1168.889,2534,57000000,200000000,2020-09-04,-143000000
Hard Kill,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.7,1034.935,141,0,0,2020-08-25,0
Money Plane,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,1032.3419999999999,149,0,0,2020-09-29,0
Happy Halloween Scooby-Doo!,"Animation,Family,Mystery,Comedy,Crime",0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.7,975.7280000000001,41,0,0,2020-10-06,0
Beckman,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,902.2080000000001,6,0,1200000,2020-09-10,-1200000
My Hero Academia: Heroes Rising,"Animation,Action",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,882.81,436,29900850,0,2019-12-20,29900850
Rogue,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,875.413,308,139757,0,2020-08-20,139757
American Pie Presents: Girls Rules,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,868.765,87,0,0,2020-10-06,0
Santana,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,829.096,138,0,2600000,2020-08-28,-2600000
Ava,"Action,Crime,Drama,Thriller",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.9,819.8439999999999,498,152812,0,2020-07-02,152812
Peninsula,"Action,Horror,Thriller",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.1,733.3889999999999,623,35878266,17000000,2020-07-15,18878266
Unknown Origins,"Drama,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.2,657.567,218,0,3268650,2020-08-28,-3268650
Artemis Fowl,"Adventure,Fantasy,ScienceFiction,Family,Action",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5.8,650.74,882,0,125000000,2020-06-12,-125000000
Archive,"ScienceFiction,Drama,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5.6,583.932,141,0,0,2020-08-13,0
One Night in Bangkok,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.2,583.212,111,0,0,2020-08-25,0
Project Power,"Action,Crime,ScienceFiction",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,563.984,1451,0,0,2020-08-14,0
We Bare Bears: The Movie,"Family,Animation,Adventure,Comedy,Mystery",0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.7,543.987,451,0,0,2020-06-30,0
Secret Society of Second Born Royals,"Action,Adventure,Comedy,Fantasy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,542.341,167,0,0,2020-09-25,0
Hubie Halloween,"Comedy,Horror,Mystery",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.4,501.63800000000003,463,0,14000000,2020-10-07,-14000000
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Adventure,Comedy,Animation,Fantasy",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.6,495.204,170,0,0,2019-08-30,0
Cats & Dogs 3: Paws Unite,"Comedy,Action",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,493.577,74,0,0,2020-10-02,0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Action,Crime,Comedy",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,463.702,6059,201858461,75000000,2020-02-05,126858461
Battlefield 2025,"ScienceFiction,Horror,Action",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.7,447.023,69,0,0,2020-07-07,0
Joker,"Crime,Thriller,Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.2,434.909,15195,1074251311,55000000,2019-10-02,1019251311
Phineas and Ferb The Movie: Candace Against the Universe,"Animation,ScienceFiction,Comedy,Music,Family,TVMovie",0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,7.2,431.47900000000004,119,0,0,2020-08-28,0
You've Got This,"Romance,Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,426.524,129,0,0,2020-10-02,0
The Old Guard,"Action,Fantasy",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.3,418.05199999999996,2168,0,70000000,2020-07-10,-70000000
12 Hour Shift,"Thriller,Horror,Comedy,Crime",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.8,411.226,46,0,0,2020-10-02,0
The Scientist,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.5,406.163,49,0,0,2020-09-21,0
Bad Boys for Life,"Thriller,Action,Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,401.306,5408,419074646,90000000,2020-01-15,329074646
Scoob!,"Family,Animation,Comedy,Adventure",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4,399.524,782,9430580,0,2020-07-08,9430580
Infamous,"Crime,Thriller,Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.6,382.86400000000003,45,0,0,2020-06-12,0
The Crimes That Bind,"Thriller,Crime,Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.5,379.981,116,0,0,2020-08-20,0
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"Animation,Action,History,Adventure,Fantasy,Drama",1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.3,378.981,4,0,0,2020-10-16,0
Trolls World Tour,"Animation,Family,Comedy,Fantasy,Adventure,Music",0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7.6,377.814,1220,1946164,0,2020-03-12,1946164
Double World,"Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8,376.043,122,0,42835740,2020-07-21,-42835740
Legacy of Lies,"Thriller,Action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.9,372.522,86,0,0,2020-08-06,0
The Tax Collector,"Action,Crime,Drama",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,371.781,150,0,30000000,2020-08-07,-30000000
Rascal Does Not Dream of a Dreaming Girl,"Animation,Comedy,Romance,Drama,Fantasy",0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8.5,371.402,165,0,0,2019-06-15,0
Sonic the Hedgehog,"Action,ScienceFiction,Comedy,Family",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.5,363.039,5914,306766470,85000000,2020-02-12,221766470
The Silencing,"Crime,Thriller,Action",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.7,356.663,132,0,0,2020-07-18,0
Greyhound,"War,Action,Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.5,352.38599999999997,1263,0,50300000,2020-07-10,-50300000
Becky,"Thriller,Action,Horror",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.4,348.974,62,0,0,2020-07-23,0
Mortal Kombat Legends: Scorpion's Revenge,"Fantasy,Action,Adventure,Animation",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.4,343.214,633,0,0,2020-04-12,0
It Chapter Two,"Horror,Fantasy",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6.9,338.24800000000005,4932,473093228,79000000,2019-09-04,394093228
After We Collided,"Romance,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.5,334.272,482,0,0,2020-09-02,0
Bloodshot,"Action,ScienceFiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.9,333.86699999999996,3228,30234182,42000000,2020-03-05,-11765818
Onward,"Animation,Family,Adventure,Comedy,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.9,323.54,3264,103181419,200000000,2020-02-29,-96818581
Nocturne,"Horror,Mystery,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6.2,321.211,42,0,0,2020-10-13,0
Goblin Slayer: Goblin's Crown,"Animation,Adventure,Action,Fantasy",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,317.199,76,0,0,2020-02-01,0
The War with Grandpa,"Comedy,Family,Drama",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.1,315.895,84,8982106,0,2020-08-27,8982106
Barbie: Princess Adventure,"Animation,Music",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.7,314.525,69,0,0,2020-09-01,0
Psycho-Pass 3 Movie: First Inspector,"ScienceFiction,Action,Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,314.157,11,0,0,2020-03-27,0
ASYLUM: Twisted Horror and Fantasy Tales,"Comedy,Horror,ScienceFiction",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.3,309.342,3,0,0,2020-07-02,0
Mortal,"Action,Fantasy,Thriller",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.5,309.251,177,106270,0,2020-02-28,106270
Robot Riot,"Action,ScienceFiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.1,308.96299999999997,6,0,0,2020-06-12,0
Weathering with You,"Animation,Romance,Fantasy,Drama",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8.1,297.038,637,186965409,0,2019-07-19,186965409
1BR,"Thriller,Drama,Horror",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,294.65,0,0,0,2020-11-26,0
Frozen II,"Animation,Family,Adventure,Comedy,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.3,293.781,6263,1450026933,150000000,2019-11-20,1300026933
Boruto: Naruto the Movie,"Action,Comedy,Animation",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,290.827,598,0,0,2015-08-07,0
Dark Forces,"Horror,Action,Thriller,Mystery",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4.8,285.598,15,0,0,2020-08-21,0
My Hero Academia: Two Heroes,"Animation,Action,Comedy,Fantasy,Adventure",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,283.291,445,31478826,0,2018-08-03,31478826
Evil Eye,"Horror,Mystery,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5.4,282.698,27,0,0,2020-10-13,0
Black Box,"Horror,ScienceFiction,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6.5,272.111,78,0,0,2020-10-06,0
Cut Throat City,"Action,Crime,Drama,Thriller",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.5,270.725,11,0,0,2020-07-31,0
Dragonheart: Vengeance,Fantasy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.7,269.454,177,0,0,2020-02-04,0
After Porn Ends 2,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,268.83099999999996,119,0,500000,2017-03-28,-500000
Love and Monsters,"Adventure,ScienceFiction,Romance,Comedy",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.1,265.619,69,0,0,2020-10-16,0
Tribal: Get Out Alive,"Action,Horror,Thriller",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.6,262.818,7,0,0,2020-07-07,0
3022,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.9,262.54,84,0,0,2019-11-22,0
The Last: Naruto the Movie,"Action,Romance,Animation",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,257.988,725,0,0,2014-12-06,0
Books of Blood,"Horror,ScienceFiction",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.8,256.652,34,0,0,2020-10-07,0
Spontaneous,"Horror,Comedy,Romance,ScienceFiction",0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7.3,256.219,26,0,0,2020-10-02,0
Terrifier,"Thriller,Horror",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.2,254.998,277,0,100000,2016-10-15,-100000
Before the Fire,"Action,ScienceFiction,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.4,251.50599999999997,19,0,0,2020-03-14,0
Force of Nature,"Action,Drama,Crime",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,251.362,139,215668,0,2020-07-02,215668
Coco,"Animation,Family,Comedy,Adventure,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.2,250.68400000000003,12357,800526015,175000000,2017-10-27,625526015
Jumanji: The Next Level,"Adventure,Comedy,Fantasy",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,250.007,4852,796575993,125000000,2019-12-04,671575993
Your Name.,"Romance,Animation,Drama",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.6,248.394,6494,357986087,0,2016-08-26,357986087
Extraction,"Drama,Action,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.4,243.91400000000002,3156,0,65000000,2020-04-24,-65000000
