,budget,original_language,original_title,popularity,release_date,revenue,title,vote_average,vote_count,gross_profit,production_countries2,Australia,Austria,Jordan,Iceland,Aruba,Serbia,Iraq,Soviet Union,Macedonia,Luxembourg,Bulgaria,Malta,Albania,Latvia,Venezuela,Japan,Qatar,Peru,Paraguay,Netherlands,Bolivia,Czech Republic,Malawi,Thailand,Rwanda,Ethiopia,Indonesia,Pakistan,China,Cuba,Taiwan,Sweden,Palestinian Territory,Argentina,Mali,Canada,Hungary,Jamaica,Spain,Estonia,Puerto Rico,Ukraine,Denmark,South Korea,Portugal,Colombia,Slovenia,Hong Kong,Chile,Italy,Singapore,Vietnam,Saudi Arabia,France,Guatemala,North Korea,United Arab Emirates,Lithuania,Sri Lanka,Azerbaijan,Norway,United Kingdom,Cambodia,Uruguay,Kazakhstan,India,United States of America,Libyan Arab Jamahiriya,Tunisia,Switzerland,Macao,Kuwait,Slovakia,Dominican Republic,Israel,Fiji,Romania,Vanuatu,Mexico,Iran,Ghana,Armenia,Germany,Belgium,South Africa,Holy See,Bahamas,Uganda,Malaysia,Mauritius,Philippines,Greece,Cyprus,Panama,Ireland,Georgia,Botswana,Russia,Belarus,Finland,Ecuador,Croatia,Andorra,Afghanistan,Turkey,Senegal,Brazil,New Zealand,Lebanon,Poland,Morocco
5323,19000000,en,Thomas And The Magic Railroad [20th Anniversary Edition],14.535,2020-10-24,19748009,Thomas And The Magic Railroad [20th Anniversary Edition],0.0,0,748009,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,15,en,Antebellum,160.722,2020-09-02,4,Antebellum,5.9,188,-11,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,5000000,en,Tesla,23.581999999999997,2020-08-14,79603,Tesla,6.6,78,-4920397,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,4000000,es,Padre no hay más que uno 2: la llegada de la suegra,116.012,2020-07-29,14871307,Father There Is Only One 2,6.7,36,10871307,"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,6300000,ko,#살아있다,95.64399999999999,2020-06-24,13416285,#Alive,7.4,569,7116285,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,200000000,en,Onward,323.54,2020-02-29,103181419,Onward,7.9,3264,-96818581,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,7000000,en,The Invisible Man,51.114,2020-02-26,130234661,The Invisible Man,7.2,2928,123234661,"[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,7000000,en,Fantasy Island,41.428000000000004,2020-02-12,47078545,Fantasy Island,6.2,1225,40078545,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,75000000,en,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),463.702,2020-02-05,201858461,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),7.2,6059,126858461,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,29000000,en,Like a Boss,64.274,2020-01-09,26925979,Like a Boss,6.6,359,-2074021,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
